Flow ID,Flow Name,Customer,Department,Capability,Run Count,Error Rate,Manual Time,Transaction Volume,Customer Count
83,License Flow,Delta Logistics,Government Affairs,Government Affairs,842,2,120,4210,6
84,Campaign Flow,Delta Logistics,Sales,Sales,352,10,169,1760,10
85,Budget Processing,Vertex Construction,Finance,Finance,530,1,173,3710,7
86,Warehouse Flow,Zenith Insurance,Operations,Operations,2284,3,53,2284,8
87,Order Approval,Pioneer Healthcare,Sales,Sales,30,4,59,150,10
88,Order Automation,Summit Bank,Government Affairs,Sales,328,8,17,3280,10
89,Leave Reporting,Internal,HR,HR,81,10,18,243,9
90,Quality Reconciliation,ABC Holding,IT,Operations,15,1,170,225,8
91,Forecast Reconciliation,Vertex Construction,Planning,Planning,487,4,46,974,9
92,Invoice Automation,Zenith Insurance,Finance,Finance,226,2,82,3164,7
93,Ticket Automation,Pioneer Healthcare,IT,IT,30,2,96,360,9
94,Network Processing,Delta Logistics,IT,IT,514,0,121,1028,9
95,Budget Tracking,ABC Holding,Finance,Finance,447,2,160,447,7
96,Lead Management,Internal,Operations,Sales,97,1,30,776,10
97,Backup Reporting,Atlas Energy,IT,IT,68,0,80,952,9
98,Leave Monitoring,Zenith Insurance,HR,HR,1123,1,103,14599,9
99,Timesheet Flow,Vertex Construction,HR,HR,9,3,29,18,9
100,Lead Monitoring,ABC Holding,Sales,Sales,58,1,37,406,10
101,Backup Monitoring,Quantum Telecom,Sales,IT,224,2,148,1120,9
102,Warehouse Tracking,Delta Logistics,Operations,Operations,61,1,42,305,8
103,License Flow,Atlas Energy,Government Affairs,Government Affairs,2878,1,169,37414,6
104,Employee Reconciliation,Internal,HR,HR,336,0,78,1344,9
105,Recruitment Processing,Summit Bank,HR,HR,2324,1,117,23240,9
106,Lead Processing,Summit Bank,Sales,Sales,95,0,97,570,10
107,Leave Processing,Orion Manufacturing,HR,HR,9,2,107,99,9
108,Warehouse Bot,ABC Holding,Operations,Operations,2830,4,19,19810,8
109,Employee Reporting,Nova Retail,HR,HR,1173,1,104,14076,9
110,Quote Reporting,Atlas Energy,Operations,Sales,419,3,7,5866,10
